component,time frequency,stream,field name,long name,units,time averaging
ice,mon,cice.h,aerosnossl001,snow ssl aerosol mass,kg/kg,mean
ice,mon,cice.h,aerosnossl002,snow ssl aerosol mass,kg/kg,mean
ice,mon,cice.h,aerosnossl003,snow ssl aerosol mass,kg/kg,mean
ice,mon,cice.h,aice,ice area (aggregate),%,mean
ice,mon,cice.h,aicen001,ice area category 001,%,mean
ice,mon,cice.h,aicen002,ice area category 002,%,mean
ice,mon,cice.h,aicen003,ice area category 003,%,mean
ice,mon,cice.h,aicen004,ice area category 004,%,mean
ice,mon,cice.h,aicen005,ice area category 005,%,mean
ice,mon,cice.h,aisnap,ice area snapshot,,mean
ice,mon,cice.h,albice,bare ice albedo,%,mean
ice,mon,cice.h,albpnd,melt pond albedo,%,mean
ice,mon,cice.h,albsno,snow albedo,%,mean
ice,mon,cice.h,alidf,near IR diffuse albedo,%,mean
ice,mon,cice.h,alidr,near IR direct albedo,%,mean
ice,mon,cice.h,alvdf,visible diffuse albedo,%,mean
ice,mon,cice.h,alvdr,visible direct albedo,%,mean
ice,mon,cice.h,apond001,melt pond concentration category 001,%,mean
ice,mon,cice.h,apond002,melt pond concentration category 002,%,mean
ice,mon,cice.h,apond003,melt pond concentration category 003,%,mean
ice,mon,cice.h,apond004,melt pond concentration category 004,%,mean
ice,mon,cice.h,apond005,melt pond concentration category 005,%,mean
ice,mon,cice.h,congel,congelation ice growth,cm/day,mean
ice,mon,cice.h,coszen,cosine of the zenith angle,radian,mean
ice,mon,cice.h,daidtd,area tendency dynamics,%/day,mean
ice,mon,cice.h,daidtt,area tendency thermo,%/day,mean
